Date,team1,team2,team1_rs,team2_rs,team1_gn,team2_gn,team1_home_gn,team2_away_gn,team1_win,team1_wr,team1_home_wr,team2_wr,team2_away_wr,team1_total_rs,team2_total_rs,team1_avg_rs,team2_avg_rs,team1_home_rs,team2_away_rs,team1_avg_home_rs,team2_avg_away_rs
20160408,SEA,OAK,2,3,4.0,5.0,1.0,1.0,0,0.6666666666666666,,0.25,,21.0,10.0,7.0,2.5,0.0,0.0,,
20160408,TOR,BOS,7,8,5.0,3.0,1.0,3.0,0,0.5,,0.5,0.5,15.0,12.0,3.75,6.0,0.0,12.0,,6.0
20160408,ARI,CHN,3,2,5.0,4.0,5.0,4.0,1,0.25,0.25,1.0,1.0,25.0,29.0,6.25,9.666666666666666,25.0,29.0,6.25,9.666666666666666
20160408,ATL,SLN,4,7,3.0,4.0,3.0,4.0,0,0.0,0.0,0.0,0.0,4.0,7.0,2.0,2.3333333333333335,4.0,7.0,2.0,2.3333333333333335
20160408,CIN,PIT,5,6,4.0,4.0,4.0,1.0,0,1.0,1.0,1.0,,19.0,15.0,6.333333333333333,5.0,19.0,0.0,6.333333333333333,
20160408,COL,SDN,6,13,4.0,4.0,1.0,1.0,0,0.6666666666666666,,0.0,,20.0,0.0,6.666666666666667,0.0,0.0,0.0,,
20160408,MIL,HOU,6,4,4.0,4.0,4.0,4.0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,8.0,16.0,2.6666666666666665,5.333333333333333,8.0,16.0,2.6666666666666665,5.333333333333333
20160408,NYN,PHI,7,2,3.0,4.0,1.0,4.0,1,0.5,,0.0,0.0,5.0,10.0,2.5,3.3333333333333335,0.0,10.0,,3.3333333333333335
20160408,SFN,LAN,3,2,5.0,5.0,2.0,5.0,1,0.75,1.0,0.75,0.75,29.0,31.0,7.25,7.75,12.0,31.0,12.0,7.75
20160409,ANA,TEX,1,4,5.0,6.0,5.0,3.0,0,0.25,0.25,0.4,0.5,8.0,20.0,2.0,4.0,8.0,10.0,2.0,5.0
20160409,CHA,CLE,7,3,6.0,4.0,2.0,2.0,1,0.6,0.0,0.6666666666666666,1.0,17.0,16.0,3.4,5.333333333333333,1.0,7.0,1.0,7.0
20160409,DET,NYA,4,8,4.0,5.0,2.0,2.0,0,1.0,1.0,0.5,0.0,19.0,27.0,6.333333333333333,6.75,4.0,0.0,4.0,0.0
20160409,KCA,MIN,7,0,4.0,5.0,4.0,5.0,1,0.6666666666666666,0.6666666666666666,0.0,0.0,8.0,9.0,2.6666666666666665,2.25,8.0,9.0,2.6666666666666665,2.25
20160409,SEA,OAK,1,6,5.0,6.0,2.0,2.0,0,0.5,0.0,0.4,1.0,23.0,13.0,5.75,2.6,2.0,3.0,2.0,3.0
20160409,TOR,BOS,4,8,6.0,4.0,2.0,4.0,0,0.4,0.0,0.6666666666666666,0.6666666666666666,22.0,20.0,4.4,6.666666666666667,7.0,20.0,7.0,6.666666666666667
20160409,ARI,CHN,2,4,6.0,5.0,6.0,5.0,0,0.4,0.4,0.75,0.75,28.0,31.0,5.6,7.75,28.0,31.0,5.6,7.75
20160409,ATL,SLN,2,12,4.0,5.0,4.0,5.0,0,0.0,0.0,0.25,0.25,8.0,14.0,2.6666666666666665,3.5,8.0,14.0,2.6666666666666665,3.5
20160409,CIN,PIT,5,1,5.0,5.0,5.0,2.0,1,0.75,0.75,1.0,1.0,24.0,21.0,6.0,5.25,24.0,6.0,6.0,6.0
20160409,COL,SDN,3,16,5.0,5.0,2.0,2.0,0,0.5,0.0,0.25,1.0,26.0,13.0,6.5,3.25,6.0,13.0,6.0,13.0
20160409,MIL,HOU,4,6,5.0,5.0,5.0,5.0,0,0.5,0.5,0.25,0.25,14.0,20.0,3.5,5.0,14.0,20.0,3.5,5.0
20160409,NYN,PHI,0,1,4.0,5.0,2.0,5.0,0,0.6666666666666666,1.0,0.0,0.0,12.0,12.0,4.0,3.0,7.0,12.0,7.0,3.0
20160409,SFN,LAN,2,3,6.0,6.0,3.0,6.0,0,0.8,1.0,0.6,0.6,32.0,33.0,6.4,6.6,15.0,33.0,7.5,6.6
20160410,ANA,TEX,3,1,6.0,7.0,6.0,4.0,1,0.2,0.2,0.5,0.6666666666666666,9.0,24.0,1.8,4.0,9.0,14.0,1.8,4.666666666666667
20160410,BAL,TBA,5,3,5.0,6.0,5.0,2.0,1,1.0,1.0,0.4,0.0,17.0,15.0,4.25,3.0,17.0,1.0,4.25,1.0
20160410,KCA,MIN,4,3,5.0,6.0,5.0,6.0,1,0.75,0.75,0.0,0.0,15.0,9.0,3.75,1.8,15.0,9.0,3.75,1.8
20160410,SEA,OAK,1,2,6.0,7.0,3.0,3.0,0,0.4,0.0,0.5,1.0,24.0,19.0,4.8,3.1666666666666665,3.0,9.0,1.5,4.5
20160410,TOR,BOS,3,0,7.0,5.0,3.0,5.0,1,0.3333333333333333,0.0,0.75,0.75,26.0,28.0,4.333333333333333,7.0,11.0,28.0,5.5,7.0
20160410,ARI,CHN,3,7,7.0,6.0,7.0,6.0,0,0.3333333333333333,0.3333333333333333,0.8,0.8,30.0,35.0,5.0,7.0,30.0,35.0,5.0,7.0
20160410,ATL,SLN,7,12,5.0,6.0,5.0,6.0,0,0.0,0.0,0.4,0.4,10.0,26.0,2.5,5.2,10.0,26.0,2.5,5.2
20160410,CIN,PIT,2,1,6.0,6.0,6.0,3.0,1,0.8,0.8,0.8,0.5,29.0,22.0,5.8,4.4,29.0,7.0,5.8,3.5
20160410,COL,SDN,6,3,6.0,6.0,3.0,3.0,1,0.4,0.0,0.4,1.0,29.0,29.0,5.8,5.8,9.0,29.0,4.5,14.5
20160410,MIL,HOU,3,2,6.0,6.0,6.0,6.0,1,0.4,0.4,0.4,0.4,18.0,26.0,3.6,5.2,18.0,26.0,3.6,5.2
20160410,NYN,PHI,2,5,5.0,6.0,3.0,6.0,0,0.5,0.5,0.2,0.2,12.0,13.0,3.0,2.6,7.0,13.0,3.5,2.6
20160410,SFN,LAN,9,6,7.0,7.0,4.0,7.0,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,34.0,36.0,5.666666666666667,6.0,17.0,36.0,5.666666666666667,6.0
20160410,WAS,MIA,4,2,4.0,4.0,2.0,2.0,1,0.6666666666666666,0.0,0.3333333333333333,1.0,11.0,16.0,3.6666666666666665,5.333333333333333,4.0,6.0,4.0,6.0
20160411,BOS,BAL,7,9,6.0,6.0,1.0,1.0,0,0.6,,1.0,,28.0,22.0,5.6,4.4,0.0,0.0,,
20160411,DET,PIT,4,7,5.0,7.0,3.0,4.0,0,0.75,0.5,0.6666666666666666,0.3333333333333333,23.0,23.0,5.75,3.8333333333333335,8.0,8.0,4.0,2.6666666666666665
20160411,HOU,KCA,8,2,7.0,6.0,1.0,1.0,1,0.3333333333333333,,0.8,,28.0,19.0,4.666666666666667,3.8,0.0,0.0,,
20160411,MIN,CHA,1,4,7.0,7.0,1.0,5.0,0,0.0,,0.6666666666666666,0.75,12.0,24.0,2.0,4.0,0.0,16.0,,4.0
20160411,OAK,ANA,1,4,8.0,7.0,5.0,1.0,0,0.5714285714285714,0.25,0.3333333333333333,,21.0,12.0,3.0,2.0,10.0,0.0,2.5,
20160411,SEA,TEX,3,7,7.0,8.0,4.0,5.0,0,0.3333333333333333,0.0,0.42857142857142855,0.5,25.0,25.0,4.166666666666667,3.5714285714285716,4.0,15.0,1.3333333333333333,3.75
20160411,CHN,CIN,5,3,7.0,7.0,1.0,1.0,1,0.8333333333333334,,0.8333333333333334,,42.0,31.0,7.0,5.166666666666667,0.0,0.0,,
20160411,NYN,MIA,3,10,6.0,5.0,4.0,3.0,0,0.4,0.3333333333333333,0.25,0.5,14.0,18.0,2.8,4.5,9.0,8.0,3.0,4.0
20160411,PHI,SDN,3,4,7.0,7.0,1.0,4.0,0,0.3333333333333333,,0.3333333333333333,0.6666666666666666,18.0,32.0,3.0,5.333333333333333,0.0,32.0,,10.666666666666666
20160411,SLN,MIL,10,1,7.0,7.0,1.0,1.0,1,0.5,,0.5,,38.0,21.0,6.333333333333333,3.5,0.0,0.0,,
20160411,WAS,ATL,6,4,5.0,6.0,3.0,1.0,1,0.75,0.5,0.0,,15.0,17.0,3.75,3.4,8.0,0.0,4.0,
20160412,BOS,BAL,5,9,7.0,7.0,2.0,2.0,0,0.5,0.0,1.0,1.0,35.0,31.0,5.833333333333333,5.166666666666667,7.0,9.0,7.0,9.0
20160412,DET,PIT,8,2,6.0,8.0,4.0,5.0,1,0.6,0.3333333333333333,0.7142857142857143,0.5,27.0,30.0,5.4,4.285714285714286,12.0,15.0,4.0,3.75
20160412,HOU,KCA,2,3,8.0,7.0,2.0,2.0,0,0.42857142857142855,1.0,0.6666666666666666,0.0,36.0,21.0,5.142857142857143,3.5,8.0,2.0,8.0,2.0
20160412,OAK,ANA,4,5,9.0,8.0,6.0,2.0,0,0.5,0.2,0.42857142857142855,1.0,22.0,16.0,2.75,2.2857142857142856,11.0,4.0,2.2,4.0
20160412,SEA,TEX,0,8,8.0,9.0,5.0,6.0,0,0.2857142857142857,0.0,0.5,0.6,28.0,32.0,4.0,4.0,7.0,22.0,1.75,4.4
20160412,TBA,CLE,5,1,7.0,5.0,5.0,3.0,1,0.3333333333333333,0.5,0.5,0.5,18.0,19.0,3.0,4.75,14.0,10.0,3.5,5.0
20160412,TOR,NYA,2,3,8.0,6.0,4.0,3.0,0,0.42857142857142855,0.3333333333333333,0.6,0.5,29.0,35.0,4.142857142857143,7.0,14.0,8.0,4.666666666666667,4.0
20160412,COL,SFN,2,7,7.0,8.0,4.0,4.0,0,0.5,0.3333333333333333,0.7142857142857143,0.6666666666666666,35.0,43.0,5.833333333333333,6.142857142857143,15.0,17.0,5.0,5.666666666666667
20160412,LAN,ARI,2,4,8.0,8.0,1.0,1.0,0,0.5714285714285714,,0.2857142857142857,,42.0,33.0,6.0,4.714285714285714,0.0,0.0,,
20160412,NYN,MIA,1,2,7.0,6.0,5.0,4.0,0,0.3333333333333333,0.25,0.4,0.6666666666666666,17.0,28.0,2.8333333333333335,5.6,12.0,18.0,3.0,6.0
20160412,PHI,SDN,3,0,8.0,8.0,2.0,5.0,1,0.2857142857142857,0.0,0.42857142857142855,0.75,21.0,36.0,3.0,5.142857142857143,3.0,36.0,3.0,9.0
20160412,WAS,ATL,2,1,6.0,7.0,4.0,2.0,1,0.8,0.6666666666666666,0.0,0.0,21.0,21.0,4.2,3.5,14.0,4.0,4.666666666666667,4.0
20160413,BOS,BAL,4,2,8.0,8.0,3.0,3.0,1,0.42857142857142855,0.0,1.0,1.0,40.0,40.0,5.714285714285714,5.714285714285714,12.0,18.0,6.0,9.0
20160413,HOU,KCA,2,4,9.0,8.0,3.0,3.0,0,0.375,0.5,0.7142857142857143,0.5,38.0,24.0,4.75,3.4285714285714284,10.0,5.0,5.0,2.5
20160413,MIN,CHA,0,3,8.0,8.0,2.0,6.0,0,0.0,0.0,0.7142857142857143,0.8,13.0,28.0,1.8571428571428572,4.0,1.0,20.0,1.0,4.0
20160413,OAK,ANA,1,5,10.0,9.0,7.0,3.0,0,0.4444444444444444,0.16666666666666666,0.5,1.0,26.0,21.0,2.888888888888889,2.625,15.0,9.0,2.5,4.5
20160413,SEA,TEX,4,2,9.0,10.0,6.0,7.0,1,0.25,0.0,0.5555555555555556,0.6666666666666666,28.0,40.0,3.5,4.444444444444445,7.0,30.0,1.4,5.0
20160413,TBA,CLE,1,4,8.0,6.0,6.0,4.0,0,0.42857142857142855,0.6,0.4,0.3333333333333333,23.0,20.0,3.2857142857142856,4.0,19.0,11.0,3.8,3.6666666666666665
20160413,TOR,NYA,7,2,9.0,7.0,5.0,4.0,1,0.375,0.25,0.6666666666666666,0.6666666666666666,31.0,38.0,3.875,6.333333333333333,16.0,11.0,4.0,3.6666666666666665
20160413,CHN,CIN,9,2,8.0,8.0,2.0,2.0,1,0.8571428571428571,1.0,0.7142857142857143,0.0,47.0,34.0,6.714285714285714,4.857142857142857,5.0,3.0,5.0,3.0
20160413,COL,SFN,10,6,8.0,9.0,5.0,5.0,1,0.42857142857142855,0.25,0.75,0.75,37.0,50.0,5.285714285714286,6.25,17.0,24.0,4.25,6.0
20160413,LAN,ARI,3,1,9.0,9.0,2.0,2.0,1,0.5,0.0,0.375,1.0,44.0,37.0,5.5,4.625,2.0,4.0,2.0,4.0
20160413,NYN,MIA,2,1,8.0,7.0,6.0,5.0,1,0.2857142857142857,0.2,0.5,0.75,18.0,30.0,2.5714285714285716,5.0,13.0,20.0,2.6,5.0
20160413,PHI,SDN,2,1,9.0,9.0,3.0,6.0,1,0.375,0.5,0.375,0.6,24.0,36.0,3.0,4.5,6.0,36.0,3.0,7.2
20160413,PIT,DET,3,7,9.0,7.0,4.0,3.0,0,0.625,1.0,0.6666666666666666,1.0,32.0,35.0,4.0,5.833333333333333,15.0,15.0,5.0,7.5
20160413,SLN,MIL,4,6,8.0,8.0,2.0,2.0,0,0.5714285714285714,1.0,0.42857142857142855,0.0,48.0,22.0,6.857142857142857,3.142857142857143,10.0,1.0,10.0,1.0
20160413,WAS,ATL,3,0,7.0,8.0,5.0,3.0,1,0.8333333333333334,0.75,0.0,0.0,23.0,22.0,3.8333333333333335,3.142857142857143,16.0,5.0,4.0,2.5
