,eps1,eps2,bscore
93,0.9,0.6,0.2522089506172823
94,0.9,0.7,0.2541102469135782
95,0.9,0.8,0.2531755144032905
96,0.9,0.9,0.2538343621399159
97,0.9,1.0,0.2525044032921796
98,0.9,1.1,0.252199444444443
99,0.9,1.2,0.2539695061728382
100,0.9,1.3,0.2597873251028789
101,0.9,1.4,0.2749006584362125
102,0.9,1.5,0.2990579835390942
103,0.9444444444444444,1.2333333333333334,0.2521876489711941
104,0.95,0.55,0.2536368724279818
105,0.95,0.65,0.2529880658436197
106,0.95,0.75,0.2548727983539072
107,0.95,0.85,0.2536097119341549
108,0.95,0.95,0.2523234979423845
109,0.95,1.05,0.2528058436213973
110,0.95,1.15,0.2521337448559656
111,0.95,1.25,0.2553706995884762
112,0.95,1.35,0.2640388065843612
113,0.95,1.45,0.2841873662551433
114,1.0,0.5,0.25281251028806423
115,1.0,0.6,0.2532639094650191
116,1.0,0.7,0.2543776543209866
117,1.0,0.75,0.2514264197530845
118,1.0,0.8,0.2543445679012333
119,1.0,0.9,0.2535481481481463
120,1.0,0.95,0.2534141152263356
121,1.0,1.0,0.2514296049382696
122,1.0,1.05,0.2521262962962944
123,1.0,1.1,0.2507626954732492
124,1.0,1.15,0.2532649382716039
125,1.0,1.2,0.2538252674897107
126,1.0,1.25,0.25526218106995685
127,1.0,1.3,0.2555776131687233
128,1.0,1.4,0.2715919753086409
129,1.0,1.5,0.2924855555555549
130,1.05,0.55,0.2528979012345658
131,1.05,0.65,0.2527956790123444
132,1.05,0.75,0.2536009053497922
133,1.05,0.85,0.2539040740740723
134,1.05,0.9,0.2535733333333313
135,1.05,0.95,0.2532589711934138
136,1.05,1.0,0.2533964609053486
137,1.05,1.05,0.2520948353909447
138,1.05,1.1,0.2516784362139899
139,1.05,1.15,0.2518012551440312
140,1.05,1.25,0.2549570370370355
141,1.05,1.35,0.2626630864197523
142,1.05,1.45,0.2781578600823033
143,1.0555555555555556,1.2666666666666666,0.2524082547325105
144,1.1,0.5,0.2520549794238664
145,1.1,0.6,0.25399162551440174
146,1.1,0.7,0.2532683744855952
147,1.1,0.8,0.25365174897119175
148,1.1,0.9,0.2528255006858692
149,1.1,0.95,0.2532452674897104
150,1.1,1.0,0.2526865020576114
151,1.1,1.05,0.2523671604938254
152,1.1,1.1,0.2527355692729745
153,1.1,1.15,0.2497489711934139
154,1.1,1.2,0.253692304526748
155,1.1,1.3,0.2550467901234557
156,1.1,1.4,0.2700165432098755
157,1.1,1.5,0.2881463374485588
158,1.15,0.55,0.2538533744855953
159,1.15,0.65,0.2530333744855951
160,1.15,0.75,0.2531442798353892
161,1.15,0.85,0.2549255967078168
162,1.15,0.9,0.2545463786008208
163,1.15,0.95,0.25283456790123293
164,1.15,1.0,0.2521555144032905
165,1.15,1.05,0.25205283950617097
166,1.15,1.1,0.2512610288065827
167,1.15,1.15,0.2515045884773647
168,1.15,1.25,0.2526261316872418
169,1.15,1.35,0.2597309876543188
170,1.15,1.45,0.2750689711934142
